; Author: Santiago Ontañón Villar (Brain Games)
; Information to construct this table was obtained from the following resources:		
; - http://map.grauw.nl/resources/z80instr.php (main source; the table in this website, removing the R800 info, is the basis over which I added additional info; check this page for an explanation on the notation)						
; - https://wiki.octoate.de/lib/exe/fetch.php/amstradcpc:z80_cpc_timings_cheat_sheet.20131019.pdf for the Amstrad CPC timings (thanks to cpcitor for making this sheet, based on Kevin Thacker's data)
; - Zilog Z80 User manual (for the registers, addresses, i/o ports and flags that affect and are affected by an instruction)
; - The Undocumented Z80 Documented (for corrections on the above)
; - R800 instruction details obtained from here: https://www.msx.org/wiki/R800_Programming
; - To clarify whether 16 bit adds modify the C flag or not (not clear in the manual, as it's different for HL than for IX/IY), I checked the source code of the OpenMSX emulator to see how flags are updated there
; Instruction	Timing MSX	Opcode	Size	Input Registers	Input Flags	Input Ports	Input Memory	Output Registers	Output Flags	Output Ports	Output Memory	Official
POP IY	16	FD E1	2	SP			[SP:SP+1]	IY,SP				true
PUSH IX	17	DD E5	2	SP,IX				SP			[SP-2:SP-1]	true
PUSH IY	17	FD E5	2	SP,IY				SP			[SP-2:SP-1]	true
RES b,(HL)	17	CB 86+8*b	2	HL			HL				HL	true
RES b,r	10	CB 80+8*b+r	2	r				r				true
RETI	16	ED 4D	2				[SP:SP+1]	SP,PC				true
RETN	16	ED 45	2				[SP:SP+1]	SP,PC				true
RL (HL)	17	CB 16	2	HL	C			HL	S,Z,H,P/V,N,C		HL	true
RL r	10	CB 10+r	2	r	C			r	S,Z,H,P/V,N,C			true
RLC (HL)	17	CB 06	2	HL				HL	S,Z,H,P/V,N,C		HL	true
RLC r	10	CB 00+r	2	r				r	S,Z,H,P/V,N,C			true
RLD	20	ED 6F	2	A,HL			HL		S,Z,H,P/V,N			true
RR (HL)	17	CB 1E	2	HL	C			HL	S,Z,H,P/V,N,C		HL	true
RR r	10	CB 18+r	2	r	C			r	S,Z,H,P/V,N,C			true
RRC (HL)	17	CB 0E	2	HL				HL	S,Z,H,P/V,N,C		HL	true
RRC r	10	CB 08+r	2	r				r	S,Z,H,P/V,N,C			true
RRD	20	ED 67	2	A,HL			HL		S,Z,H,P/V,N			true
SBC A,IXp	10	DD 98+p	2	A,IXp	C			A	S,Z,H,P/V,N,C			true
SBC A,IYq	10	FD 98+q	2	A,IYq	C			A	S,Z,H,P/V,N,C			true
SBC A,n	8	DE n	2	A	C			A	S,Z,H,P/V,N,C			true
SBC HL,BC	17	ED 42	2	HL,BC	C			HL	S,Z,H,P/V,N,C			true
SBC HL,DE	17	ED 52	2	HL,DE	C			HL	S,Z,H,P/V,N,C			true
SBC HL,HL	17	ED 62	2	HL	C			HL	S,Z,H,P/V,N,C			true
SBC HL,SP	17	ED 72	2	HL,SP	C			HL	S,Z,H,P/V,N,C			true
SET b,(HL)	17	CB C6+8*b	2	HL			HL				HL	true
SET b,r	10	CB C0+8*b+r	2	r				r				true
SLA (HL)	17	CB 26	2	HL			HL		S,Z,H,P/V,N,C		HL	true
SLA r	10	CB 20+r	2	r				r	S,Z,H,P/V,N,C			true
SLI (HL)	17	CB 36	2	HL			HL		S,Z,H,P/V,N,C		HL	true
SLI r	10	CB 30+r	2	r				r	S,Z,H,P/V,N,C			true
SRA (HL)	17	CB 2E	2	HL			HL		S,Z,H,P/V,N,C		HL	true
SRA r	10	CB 28+r	2	r				r	S,Z,H,P/V,N,C			true
SRL (HL)	17	CB 3E	2	HL			HL		S,Z,H,P/V,N,C		HL	true
SRL r	10	CB 38+r	2	r				r	S,Z,H,P/V,N,C			true
SUB IXp	10	DD 90+p	2	A,IXp				A	S,Z,H,P/V,N,C			true
SUB IYq	10	FD 90+q	2	A,IYq				A	S,Z,H,P/V,N,C			true
SUB n	8	D6 n	2	A				A	S,Z,H,P/V,N,C			true
XOR IXp	10	DD A8+p	2	A,IXp				A	S,Z,H,P/V,N,C			true
XOR IYq	10	FD A8+q	2	A,IYq				A	S,Z,H,P/V,N,C			true
XOR n	8	EE n	2	A				A	S,Z,H,P/V,N,C			true
ADC A,(IX+o)	21	DD 8E o	3	A,IX	C		IX+o	A	S,Z,H,P/V,N,C			true
ADC A,(IY+o)	21	FD 8E o	3	A,IY	C		IY+o	A	S,Z,H,P/V,N,C			true
ADD A,(IX+o)	21	DD 86 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			true
ADD A,(IY+o)	21	FD 86 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			true
AND (IX+o)	21	DD A6 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			true
AND (IY+o)	21	FD A6 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			true
CALL C,nn	18/11	DC nn nn	3	SP	C			SP,PC			[SP-2:SP-1]	true
CALL M,nn	18/11	FC nn nn	3	SP	S			SP,PC			[SP-2:SP-1]	true
CALL NC,nn	18/11	D4 nn nn	3	SP	C			SP,PC			[SP-2:SP-1]	true
CALL NZ,nn	18/11	C4 nn nn	3	SP	Z			SP,PC			[SP-2:SP-1]	true
CALL P,nn	18/11	F4 nn nn	3	SP	S			SP,PC			[SP-2:SP-1]	true
CALL PE,nn	18/11	EC nn nn	3	SP	P/V			SP,PC			[SP-2:SP-1]	true
CALL PO,nn	18/11	E4 nn nn	3	SP	P/V			SP,PC			[SP-2:SP-1]	true
CALL Z,nn	18/11	CC nn nn	3	SP	Z			SP,PC			[SP-2:SP-1]	true
CALL nn	18	CD nn nn	3	SP				SP,PC			[SP-2:SP-1]	true
CP (IX+o)	21	DD BE o	3	A,IX			IX+o		S,Z,H,P/V,N,C			true
CP (IY+o)	21	FD BE o	3	A,IY			IY+o		S,Z,H,P/V,N,C			true
DEC (IX+o)	25	DD 35 o	3	IX			IX+o		S,Z,H,P/V,N		IX+o	true
DEC (IY+o)	25	FD 35 o	3	IY			IY+o		S,Z,H,P/V,N		IY+o	true
INC (IX+o)	25	DD 34 o	3	IX			IX+o		S,Z,H,P/V,N		IX+o	true
INC (IY+o)	25	FD 34 o	3	IY			IY+o		S,Z,H,P/V,N		IY+o	true
JP C,nn	11	DA nn nn	3		C			PC				true
JP M,nn	11	FA nn nn	3		S			PC				true
JP NC,nn	11	D2 nn nn	3		C			PC				true
JP NZ,nn	11	C2 nn nn	3		Z			PC				true
JP P,nn	11	F2 nn nn	3		S			PC				true
JP PE,nn	11	EA nn nn	3		P/V			PC				true
JP PO,nn	11	E2 nn nn	3		P/V			PC				true
JP Z,nn	11	CA nn nn	3		Z			PC				true
JP nn	11	C3 nn nn	3					PC				true
LD (IX+o),r	21	DD 70+r o	3	IX,r							IX+o	true
LD (IY+o),r	21	FD 70+r o	3	IY,r							IY+o	true
LD (nn),A	14	32 nn nn	3	A							nn	true
LD (nn),HL	17	22 nn nn	3	HL							[nn:nn+1]	true
LD A,(IX+o)	21	DD 7E o	3	IX			IX+o	A				true
LD A,(IY+o)	21	FD 7E o	3	IY			IY+o	A				true
LD A,(nn)	14	3A nn nn	3				nn	A				true
LD B,(IX+o)	21	DD 46 o	3	IX			IX+o	B				true
LD B,(IY+o)	21	FD 46 o	3	IY			IY+o	B				true
LD BC,nn	11	01 nn nn	3					BC				true
LD C,(IX+o)	21	DD 4E o	3	IX			IX+o	C				true
LD C,(IY+o)	21	FD 4E o	3	IY			IY+o	C				true
LD D,(IX+o)	21	DD 56 o	3	IX			IX+o	D				true
LD D,(IY+o)	21	FD 56 o	3	IY			IY+o	D				true
LD DE,nn	11	11 nn nn	3					DE				true
LD E,(IX+o)	21	DD 5E o	3	IX			IX+o	E				true
LD E,(IY+o)	21	FD 5E o	3	IY			IY+o	E				true
LD H,(IX+o)	21	DD 66 o	3	IX			IX+o	H				true
LD H,(IY+o)	21	FD 66 o	3	IY			IY+o	H				true
LD HL,(nn)	17	2A nn nn	3				[nn:nn+1]	HL				true
LD HL,nn	11	21 nn nn	3					HL				true
LD IXH,n	13	DD 26 n	3					IXH				true
LD IXL,n	13	DD 2E n	3					IXL				true
LD IYH,n	13	FD 26 n	3					IYH				true
LD IYL,n	13	FD 2E n	3					IYL				true
LD L,(IX+o)	21	DD 6E o	3	IX			IX+o	L				true
LD L,(IY+o)	21	FD 6E o	3	IY			IY+o	L				true
LD SP,nn	11	31 nn nn	3					SP				true
OR (IX+o)	21	DD B6 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			true
