; Author: Santiago Ontañón Villar (Brain Games)
; Information to construct this table was optained from the following resources:		
; - http://map.grauw.nl/resources/z80instr.php (main source; the table in this website, removing the R800 info, is the basis over which I added additional info; check this page for an explanation on the notation)						
; - https://wiki.octoate.de/lib/exe/fetch.php/amstradcpc:z80_cpc_timings_cheat_sheet.20131019.pdf (for the Amstrad CPC timings)
; - Zilog Z80 User manual (for the registers, addresses, i/o ports and flags that affect and are affected by an instruction)
; - The Undocumented Z80 Documented (for corrections on the above)	
; - out (c),r instructions in the Amstrad CPC actually also depend on "B", as ports are 16 addresses. So, even if they are written as "out (c),r", in reality the instruction is "out (bc),r"
; - To clarify whether 16 bit adds modify the C flag or not (not clear in the manual, as it's different for HL than for IX/IY), I checked the source code of the OpenMSX emulator to see how flags are updated there
; Instruction	Timing Amstrad CPC	Opcode	Size	Input Registers	Input Flags	Input Ports	Input Memory	Output Registers	Output Flags	Output Ports	Output Memory	Official
AND (IY+o)	5	FD A6 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			true
CALL C,nn	5/3	DC nn nn	3	SP	C			SP,PC			[SP-2:SP-1]	true
CALL M,nn	5/3	FC nn nn	3	SP	S			SP,PC			[SP-2:SP-1]	true
CALL NC,nn	5/3	D4 nn nn	3	SP	C			SP,PC			[SP-2:SP-1]	true
CALL NZ,nn	5/3	C4 nn nn	3	SP	Z			SP,PC			[SP-2:SP-1]	true
CALL P,nn	5/3	F4 nn nn	3	SP	S			SP,PC			[SP-2:SP-1]	true
CALL PE,nn	5/3	EC nn nn	3	SP	P/V			SP,PC			[SP-2:SP-1]	true
CALL PO,nn	5/3	E4 nn nn	3	SP	P/V			SP,PC			[SP-2:SP-1]	true
CALL Z,nn	5/3	CC nn nn	3	SP	Z			SP,PC			[SP-2:SP-1]	true
CALL nn	5	CD nn nn	3	SP				SP,PC			[SP-2:SP-1]	true
CP (IX+o)	5	DD BE o	3	A,IX			IX+o		S,Z,H,P/V,N,C			true
CP (IY+o)	5	FD BE o	3	A,IY			IY+o		S,Z,H,P/V,N,C			true
DEC (IX+o)	6	DD 35 o	3	IX			IX+o		S,Z,H,P/V,N		IX+o	true
DEC (IY+o)	6	FD 35 o	3	IY			IY+o		S,Z,H,P/V,N		IY+o	true
INC (IX+o)	6	DD 34 o	3	IX			IX+o		S,Z,H,P/V,N		IX+o	true
INC (IY+o)	6	FD 34 o	3	IY			IY+o		S,Z,H,P/V,N		IY+o	true
JP C,nn	3	DA nn nn	3		C			PC				true
JP M,nn	3	FA nn nn	3		S			PC				true
JP NC,nn	3	D2 nn nn	3		C			PC				true
JP NZ,nn	3	C2 nn nn	3		Z			PC				true
JP P,nn	3	F2 nn nn	3		S			PC				true
JP PE,nn	3	EA nn nn	3		P/V			PC				true
JP PO,nn	3	E2 nn nn	3		P/V			PC				true
JP Z,nn	3	CA nn nn	3		Z			PC				true
JP nn	3	C3 nn nn	3					PC				true
LD (IX+o),r	5	DD 70+r o	3	IX,r							IX+o	true
LD (IY+o),r	5	FD 70+r o	3	IY,r							IY+o	true
LD (nn),A	4	32 nn nn	3	A							nn	true
LD (nn),HL	5	22 nn nn	3	HL							[nn:nn+1]	true
LD A,(IX+o)	5	DD 7E o	3	IX			IX+o	A				true
LD A,(IY+o)	5	FD 7E o	3	IY			IY+o	A				true
LD A,(nn)	4	3A nn nn	3				nn	A				true
LD B,(IX+o)	5	DD 46 o	3	IX			IX+o	B				true
LD B,(IY+o)	5	FD 46 o	3	IY			IY+o	B				true
LD BC,nn	3	01 nn nn	3					BC				true
LD C,(IX+o)	5	DD 4E o	3	IX			IX+o	C				true
LD C,(IY+o)	5	FD 4E o	3	IY			IY+o	C				true
LD D,(IX+o)	5	DD 56 o	3	IX			IX+o	D				true
LD D,(IY+o)	5	FD 56 o	3	IY			IY+o	D				true
LD DE,nn	3	11 nn nn	3					DE				true
LD E,(IX+o)	5	DD 5E o	3	IX			IX+o	E				true
LD E,(IY+o)	5	FD 5E o	3	IY			IY+o	E				true
LD H,(IX+o)	5	DD 66 o	3	IX			IX+o	H				true
LD H,(IY+o)	5	FD 66 o	3	IY			IY+o	H				true
LD HL,(nn)	5	2A nn nn	3				[nn:nn+1]	HL				true
LD HL,nn	3	21 nn nn	3					HL				true
LD IXH,n	3	DD 26 n	3					IXH				true
LD IXL,n	3	DD 2E n	3					IXL				true
LD IYH,n	3	FD 26 n	3					IYH				true
LD IYL,n	3	FD 2E n	3					IYL				true
LD L,(IX+o)	5	DD 6E o	3	IX			IX+o	L				true
LD L,(IY+o)	5	FD 6E o	3	IY			IY+o	L				true
LD SP,nn	3	31 nn nn	3					SP				true
OR (IX+o)	5	DD B6 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			true
OR (IY+o)	5	FD B6 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			true
SBC A,(IX+o)	5	DD 9E o	3	A,IX	C		IX+o	A	S,Z,H,P/V,N,C			true
SBC A,(IY+o)	5	FD 9E o	3	A,IY	C		IY+o	A	S,Z,H,P/V,N,C			true
