; Author: Santiago Ontañón Villar (Brain Games)
; Information to construct this table was obtained from the following resources:		
; - http://map.grauw.nl/resources/z80instr.php (main source; the table in this website, removing the R800 info, is the basis over which I added additional info; check this page for an explanation on the notation)						
; - https://wiki.octoate.de/lib/exe/fetch.php/amstradcpc:z80_cpc_timings_cheat_sheet.20131019.pdf for the Amstrad CPC timings (thanks to cpcitor for making this sheet, based on Kevin Thacker's data)
; - Zilog Z80 User manual (for the registers, addresses, i/o ports and flags that affect and are affected by an instruction)
; - The Undocumented Z80 Documented (for corrections on the above)												
; - To clarify whether 16 bit adds modify the C flag or not (not clear in the manual, as it's different for HL than for IX/IY), I checked the source code of the OpenMSX emulator to see how flags are updated there
; Instruction	Timing	Opcode	Size	Input Registers	Input Flags	Input Ports	Input Memory	Output Registers	Output Flags	Output Ports	Output Memory	Official
LD C,(IY+o)	19	FD 4E o	3	IY			IY+o	C				true
LD D,(IX+o)	19	DD 56 o	3	IX			IX+o	D				true
LD D,(IY+o)	19	FD 56 o	3	IY			IY+o	D				true
LD DE,nn	10	11 nn nn	3					DE				true
LD E,(IX+o)	19	DD 5E o	3	IX			IX+o	E				true
LD E,(IY+o)	19	FD 5E o	3	IY			IY+o	E				true
LD H,(IX+o)	19	DD 66 o	3	IX			IX+o	H				true
LD H,(IY+o)	19	FD 66 o	3	IY			IY+o	H				true
LD HL,(nn)	16	2A nn nn	3				[nn:nn+1]	HL				true
LD HL,nn	10	21 nn nn	3					HL				true
LD IXH,n	11	DD 26 n	3					IXH				true
LD IXL,n	11	DD 2E n	3					IXL				true
LD IYH,n	11	FD 26 n	3					IYH				true
LD IYL,n	11	FD 2E n	3					IYL				true
LD L,(IX+o)	19	DD 6E o	3	IX			IX+o	L				true
LD L,(IY+o)	19	FD 6E o	3	IY			IY+o	L				true
LD SP,nn	10	31 nn nn	3					SP				true
OR (IX+o)	19	DD B6 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			true
OR (IY+o)	19	FD B6 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			true
SBC A,(IX+o)	19	DD 9E o	3	A,IX	C		IX+o	A	S,Z,H,P/V,N,C			true
SBC A,(IY+o)	19	FD 9E o	3	A,IY	C		IY+o	A	S,Z,H,P/V,N,C			true
SUB (IX+o)	19	DD 96 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			true
SUB (IY+o)	19	FD 96 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			true
XOR (IX+o)	19	DD AE o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			true
XOR (IY+o)	19	FD AE o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			true
BIT b,(IX+o)	20	DD CB o 46+8*b	4	IX			IX+o		S,Z,H,P/V,N			true
BIT b,(IY+o)	20	FD CB o 46+8*b	4	IY			IY+o		S,Z,H,P/V,N			true
LD (IX+o),n	19	DD 36 o n	4	IX							IX+o	true
LD (IY+o),n	19	FD 36 o n	4	IY							IY+o	true
LD (nn),BC	20	ED 43 nn nn	4	BC							[nn:nn+1]	true
LD (nn),DE	20	ED 53 nn nn	4	DE							[nn:nn+1]	true
